CYP2B6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*21/*45,n/a,CYP2B6 Indeterminate,none
*21/*46,n/a,CYP2B6 Indeterminate,none
*21/*47,n/a,CYP2B6 Indeterminate,none
*21/*48,n/a,CYP2B6 Indeterminate,none
*21/*49,n/a,CYP2B6 Indeterminate,none
*22/*22,n/a,CYP2B6 Indeterminate,none
*22/*23,n/a,CYP2B6 Indeterminate,none
*22/*24,n/a,CYP2B6 Indeterminate,none
*22/*25,n/a,CYP2B6 Indeterminate,none
*22/*26,n/a,CYP2B6 Indeterminate,none
*22/*27,n/a,CYP2B6 Indeterminate,none
*22/*28,n/a,CYP2B6 Indeterminate,none
*22/*29,n/a,CYP2B6 Indeterminate,none
*22/*30,n/a,CYP2B6 Indeterminate,none
*22/*31,n/a,CYP2B6 Indeterminate,none
*22/*32,n/a,CYP2B6 Indeterminate,none
*22/*33,n/a,CYP2B6 Indeterminate,none
*22/*34,n/a,CYP2B6 Indeterminate,none
*22/*35,n/a,CYP2B6 Indeterminate,none
*22/*36,n/a,CYP2B6 Indeterminate,none
*22/*37,n/a,CYP2B6 Indeterminate,none
*22/*38,n/a,CYP2B6 Indeterminate,none
*22/*39,n/a,CYP2B6 Indeterminate,none
*22/*40,n/a,CYP2B6 Indeterminate,none
*22/*41,n/a,CYP2B6 Indeterminate,none
*22/*42,n/a,CYP2B6 Indeterminate,none
*22/*43,n/a,CYP2B6 Indeterminate,none
*22/*44,n/a,CYP2B6 Indeterminate,none
*22/*45,n/a,CYP2B6 Indeterminate,none
*22/*46,n/a,CYP2B6 Indeterminate,none
*22/*47,n/a,CYP2B6 Indeterminate,none
*22/*48,n/a,CYP2B6 Indeterminate,none
*22/*49,n/a,CYP2B6 Indeterminate,none
*23/*23,n/a,CYP2B6 Indeterminate,none
*23/*24,n/a,CYP2B6 Indeterminate,none
*23/*25,n/a,CYP2B6 Indeterminate,none
*23/*26,n/a,CYP2B6 Indeterminate,none
*23/*27,n/a,CYP2B6 Indeterminate,none
*23/*28,n/a,CYP2B6 Indeterminate,none
*23/*29,n/a,CYP2B6 Indeterminate,none
*23/*30,n/a,CYP2B6 Indeterminate,none
*23/*31,n/a,CYP2B6 Indeterminate,none
*23/*32,n/a,CYP2B6 Indeterminate,none
*23/*33,n/a,CYP2B6 Indeterminate,none
*23/*34,n/a,CYP2B6 Indeterminate,none
*23/*35,n/a,CYP2B6 Indeterminate,none
*23/*36,n/a,CYP2B6 Indeterminate,none
*23/*37,n/a,CYP2B6 Indeterminate,none
*23/*38,n/a,CYP2B6 Indeterminate,none
*23/*39,n/a,CYP2B6 Indeterminate,none
*23/*40,n/a,CYP2B6 Indeterminate,none
*23/*41,n/a,CYP2B6 Indeterminate,none
*23/*42,n/a,CYP2B6 Indeterminate,none
*23/*43,n/a,CYP2B6 Indeterminate,none
*23/*44,n/a,CYP2B6 Indeterminate,none
*23/*45,n/a,CYP2B6 Indeterminate,none
*23/*46,n/a,CYP2B6 Indeterminate,none
*23/*47,n/a,CYP2B6 Indeterminate,none
*23/*48,n/a,CYP2B6 Indeterminate,none
*23/*49,n/a,CYP2B6 Indeterminate,none
*24/*24,n/a,CYP2B6 Indeterminate,none
*24/*25,n/a,CYP2B6 Indeterminate,none
*24/*26,n/a,CYP2B6 Indeterminate,none
*24/*27,n/a,CYP2B6 Indeterminate,none
*24/*28,n/a,CYP2B6 Indeterminate,none
*24/*29,n/a,CYP2B6 Indeterminate,none
*24/*30,n/a,CYP2B6 Indeterminate,none
*24/*31,n/a,CYP2B6 Indeterminate,none
*24/*32,n/a,CYP2B6 Indeterminate,none
*24/*33,n/a,CYP2B6 Indeterminate,none
*24/*34,n/a,CYP2B6 Indeterminate,none
*24/*35,n/a,CYP2B6 Indeterminate,none
*24/*36,n/a,CYP2B6 Indeterminate,none
*24/*37,n/a,CYP2B6 Indeterminate,none
*24/*38,n/a,CYP2B6 Indeterminate,none
*24/*39,n/a,CYP2B6 Indeterminate,none
*24/*40,n/a,CYP2B6 Indeterminate,none
*24/*41,n/a,CYP2B6 Indeterminate,none
*24/*42,n/a,CYP2B6 Indeterminate,none
*24/*43,n/a,CYP2B6 Indeterminate,none
*24/*44,n/a,CYP2B6 Indeterminate,none
*24/*45,n/a,CYP2B6 Indeterminate,none
*24/*46,n/a,CYP2B6 Indeterminate,none
*24/*47,n/a,CYP2B6 Indeterminate,none
*24/*48,n/a,CYP2B6 Indeterminate,none
*24/*49,n/a,CYP2B6 Indeterminate,none
*25/*25,n/a,CYP2B6 Indeterminate,none
*25/*26,n/a,CYP2B6 Indeterminate,none
*25/*27,n/a,CYP2B6 Indeterminate,none
*25/*28,n/a,CYP2B6 Indeterminate,none
*25/*29,n/a,CYP2B6 Indeterminate,none
*25/*30,n/a,CYP2B6 Indeterminate,none
*25/*31,n/a,CYP2B6 Indeterminate,none
*25/*32,n/a,CYP2B6 Indeterminate,none
*25/*33,n/a,CYP2B6 Indeterminate,none
*25/*34,n/a,CYP2B6 Indeterminate,none
*25/*35,n/a,CYP2B6 Indeterminate,none
*25/*36,n/a,CYP2B6 Indeterminate,none
*25/*37,n/a,CYP2B6 Indeterminate,none
*25/*38,n/a,CYP2B6 Indeterminate,none
*25/*39,n/a,CYP2B6 Indeterminate,none
*25/*40,n/a,CYP2B6 Indeterminate,none
*25/*41,n/a,CYP2B6 Indeterminate,none
*25/*42,n/a,CYP2B6 Indeterminate,none
*25/*43,n/a,CYP2B6 Indeterminate,none
*25/*44,n/a,CYP2B6 Indeterminate,none
*25/*45,n/a,CYP2B6 Indeterminate,none
*25/*46,n/a,CYP2B6 Indeterminate,none
*25/*47,n/a,CYP2B6 Indeterminate,none
*25/*48,n/a,CYP2B6 Indeterminate,none
*25/*49,n/a,CYP2B6 Indeterminate,none
*26/*26,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*27,n/a,CYP2B6 Indeterminate,none
*26/*28,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*29,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*30,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*31,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*26/*32,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*26/*33,n/a,CYP2B6 Indeterminate,none
*26/*34,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*35,n/a,CYP2B6 Indeterminate,none
*26/*36,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*26/*44,n/a,CYP2B6 Indeterminate,none
*26/*45,n/a,CYP2B6 Indeterminate,none
*26/*46,n/a,CYP2B6 Indeterminate,none
*26/*47,n/a,CYP2B6 Indeterminate,none
*26/*48,n/a,CYP2B6 Indeterminate,none
*26/*49,n/a,CYP2B6 Indeterminate,none
*27/*27,n/a,CYP2B6 Indeterminate,none
*27/*28,n/a,CYP2B6 Indeterminate,none
*27/*29,n/a,CYP2B6 Indeterminate,none
*27/*30,n/a,CYP2B6 Indeterminate,none
*27/*31,n/a,CYP2B6 Indeterminate,none
*27/*32,n/a,CYP2B6 Indeterminate,none
*27/*33,n/a,CYP2B6 Indeterminate,none
*27/*34,n/a,CYP2B6 Indeterminate,none
*27/*35,n/a,CYP2B6 Indeterminate,none
*27/*36,n/a,CYP2B6 Indeterminate,none
*27/*37,n/a,CYP2B6 Indeterminate,none
*27/*38,n/a,CYP2B6 Indeterminate,none
*27/*39,n/a,CYP2B6 Indeterminate,none
*27/*40,n/a,CYP2B6 Indeterminate,none
*27/*41,n/a,CYP2B6 Indeterminate,none
*27/*42,n/a,CYP2B6 Indeterminate,none
*27/*43,n/a,CYP2B6 Indeterminate,none
*27/*44,n/a,CYP2B6 Indeterminate,none
*27/*45,n/a,CYP2B6 Indeterminate,none
*27/*46,n/a,CYP2B6 Indeterminate,none
*27/*47,n/a,CYP2B6 Indeterminate,none
*27/*48,n/a,CYP2B6 Indeterminate,none
*27/*49,n/a,CYP2B6 Indeterminate,none
*28/*28,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*29,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*30,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*31,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*28/*32,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*28/*33,n/a,CYP2B6 Indeterminate,none
*28/*34,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*35,n/a,CYP2B6 Indeterminate,none
*28/*36,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*28/*44,n/a,CYP2B6 Indeterminate,none
*28/*45,n/a,CYP2B6 Indeterminate,none
*28/*46,n/a,CYP2B6 Indeterminate,none
*28/*47,n/a,CYP2B6 Indeterminate,none
*28/*48,n/a,CYP2B6 Indeterminate,none
*28/*49,n/a,CYP2B6 Indeterminate,none
*29/*29,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*30,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*31,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*29/*32,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*29/*33,n/a,CYP2B6 Indeterminate,none
*29/*34,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*35,n/a,CYP2B6 Indeterminate,none
*29/*36,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*29/*44,n/a,CYP2B6 Indeterminate,none
*29/*45,n/a,CYP2B6 Indeterminate,none
*29/*46,n/a,CYP2B6 Indeterminate,none
*29/*47,n/a,CYP2B6 Indeterminate,none
*29/*48,n/a,CYP2B6 Indeterminate,none
*29/*49,n/a,CYP2B6 Indeterminate,none
*30/*30,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*31,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*30/*32,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*30/*33,n/a,CYP2B6 Indeterminate,none
*30/*34,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*35,n/a,CYP2B6 Indeterminate,none
*30/*36,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*30/*44,n/a,CYP2B6 Indeterminate,none
*30/*45,n/a,CYP2B6 Indeterminate,none
*30/*46,n/a,CYP2B6 Indeterminate,none
*30/*47,n/a,CYP2B6 Indeterminate,none
*30/*48,n/a,CYP2B6 Indeterminate,none
*30/*49,n/a,CYP2B6 Indeterminate,none
*31/*31,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*31/*32,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*31/*33,n/a,CYP2B6 Indeterminate,none
*31/*34,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*31/*35,n/a,CYP2B6 Indeterminate,none
*31/*36,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*31/*37,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*31/*38,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*31/*39,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*31/*40,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*31/*41,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*31/*42,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*31/*43,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*31/*44,n/a,CYP2B6 Indeterminate,none
*31/*45,n/a,CYP2B6 Indeterminate,none
*31/*46,n/a,CYP2B6 Indeterminate,none
*31/*47,n/a,CYP2B6 Indeterminate,none
*31/*48,n/a,CYP2B6 Indeterminate,none
*31/*49,n/a,CYP2B6 Indeterminate,none
*32/*32,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*32/*33,n/a,CYP2B6 Indeterminate,none
*32/*34,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*32/*35,n/a,CYP2B6 Indeterminate,none
*32/*36,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*32/*37,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*32/*38,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*32/*39,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*32/*40,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*32/*41,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*32/*42,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*32/*43,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*32/*44,n/a,CYP2B6 Indeterminate,none
*32/*45,n/a,CYP2B6 Indeterminate,none
*32/*46,n/a,CYP2B6 Indeterminate,none
*32/*47,n/a,CYP2B6 Indeterminate,none
*32/*48,n/a,CYP2B6 Indeterminate,none
*32/*49,n/a,CYP2B6 Indeterminate,none
*33/*33,n/a,CYP2B6 Indeterminate,none
*33/*34,n/a,CYP2B6 Indeterminate,none
*33/*35,n/a,CYP2B6 Indeterminate,none
*33/*36,n/a,CYP2B6 Indeterminate,none
*33/*37,n/a,CYP2B6 Indeterminate,none
*33/*38,n/a,CYP2B6 Indeterminate,none
*33/*39,n/a,CYP2B6 Indeterminate,none
*33/*40,n/a,CYP2B6 Indeterminate,none
*33/*41,n/a,CYP2B6 Indeterminate,none
*33/*42,n/a,CYP2B6 Indeterminate,none
*33/*43,n/a,CYP2B6 Indeterminate,none
*33/*44,n/a,CYP2B6 Indeterminate,none
*33/*45,n/a,CYP2B6 Indeterminate,none
*33/*46,n/a,CYP2B6 Indeterminate,none
*33/*47,n/a,CYP2B6 Indeterminate,none
*33/*48,n/a,CYP2B6 Indeterminate,none
*33/*49,n/a,CYP2B6 Indeterminate,none
*34/*34,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*34/*35,n/a,CYP2B6 Indeterminate,none
*34/*36,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*34/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*34/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*34/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*34/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*34/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*34/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*34/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*34/*44,n/a,CYP2B6 Indeterminate,none
*34/*45,n/a,CYP2B6 Indeterminate,none
*34/*46,n/a,CYP2B6 Indeterminate,none
*34/*47,n/a,CYP2B6 Indeterminate,none
*34/*48,n/a,CYP2B6 Indeterminate,none
*34/*49,n/a,CYP2B6 Indeterminate,none
*35/*35,n/a,CYP2B6 Indeterminate,none
*35/*36,n/a,CYP2B6 Indeterminate,none
*35/*37,n/a,CYP2B6 Indeterminate,none
*35/*38,n/a,CYP2B6 Indeterminate,none
*35/*39,n/a,CYP2B6 Indeterminate,none
*35/*40,n/a,CYP2B6 Indeterminate,none
*35/*41,n/a,CYP2B6 Indeterminate,none
*35/*42,n/a,CYP2B6 Indeterminate,none
*35/*43,n/a,CYP2B6 Indeterminate,none
*35/*44,n/a,CYP2B6 Indeterminate,none
*35/*45,n/a,CYP2B6 Indeterminate,none
*35/*46,n/a,CYP2B6 Indeterminate,none
*35/*47,n/a,CYP2B6 Indeterminate,none
*35/*48,n/a,CYP2B6 Indeterminate,none
*35/*49,n/a,CYP2B6 Indeterminate,none
*36/*36,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*44,n/a,CYP2B6 Indeterminate,none
*36/*45,n/a,CYP2B6 Indeterminate,none
*36/*46,n/a,CYP2B6 Indeterminate,none
*36/*47,n/a,CYP2B6 Indeterminate,none
*36/*48,n/a,CYP2B6 Indeterminate,none
*36/*49,n/a,CYP2B6 Indeterminate,none
*37/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*37/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*37/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*37/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*37/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*37/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*37/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*37/*44,n/a,CYP2B6 Indeterminate,none
*37/*45,n/a,CYP2B6 Indeterminate,none
*37/*46,n/a,CYP2B6 Indeterminate,none
*37/*47,n/a,CYP2B6 Indeterminate,none
*37/*48,n/a,CYP2B6 Indeterminate,none
*37/*49,n/a,CYP2B6 Indeterminate,none
*38/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*38/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*38/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*38/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*38/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*38/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*38/*44,n/a,CYP2B6 Indeterminate,none
*38/*45,n/a,CYP2B6 Indeterminate,none
*38/*46,n/a,CYP2B6 Indeterminate,none
*38/*47,n/a,CYP2B6 Indeterminate,none
*38/*48,n/a,CYP2B6 Indeterminate,none
*38/*49,n/a,CYP2B6 Indeterminate,none
*39/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*39/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*39/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*39/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*39/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*39/*44,n/a,CYP2B6 Indeterminate,none
*39/*45,n/a,CYP2B6 Indeterminate,none
*39/*46,n/a,CYP2B6 Indeterminate,none
*39/*47,n/a,CYP2B6 Indeterminate,none
*39/*48,n/a,CYP2B6 Indeterminate,none
*39/*49,n/a,CYP2B6 Indeterminate,none
*40/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*40/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*40/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*40/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*40/*44,n/a,CYP2B6 Indeterminate,none
*40/*45,n/a,CYP2B6 Indeterminate,none
*40/*46,n/a,CYP2B6 Indeterminate,none
*40/*47,n/a,CYP2B6 Indeterminate,none
*40/*48,n/a,CYP2B6 Indeterminate,none
*40/*49,n/a,CYP2B6 Indeterminate,none
*41/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*41/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*41/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*41/*44,n/a,CYP2B6 Indeterminate,none
*41/*45,n/a,CYP2B6 Indeterminate,none
*41/*46,n/a,CYP2B6 Indeterminate,none
*41/*47,n/a,CYP2B6 Indeterminate,none
*41/*48,n/a,CYP2B6 Indeterminate,none
*41/*49,n/a,CYP2B6 Indeterminate,none
*42/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*42/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*42/*44,n/a,CYP2B6 Indeterminate,none
*42/*45,n/a,CYP2B6 Indeterminate,none
*42/*46,n/a,CYP2B6 Indeterminate,none
*42/*47,n/a,CYP2B6 Indeterminate,none
*42/*48,n/a,CYP2B6 Indeterminate,none
*42/*49,n/a,CYP2B6 Indeterminate,none
*43/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*43/*44,n/a,CYP2B6 Indeterminate,none
*43/*45,n/a,CYP2B6 Indeterminate,none
*43/*46,n/a,CYP2B6 Indeterminate,none
*43/*47,n/a,CYP2B6 Indeterminate,none
*43/*48,n/a,CYP2B6 Indeterminate,none
*43/*49,n/a,CYP2B6 Indeterminate,none
*44/*44,n/a,CYP2B6 Indeterminate,none
*44/*45,n/a,CYP2B6 Indeterminate,none
*44/*46,n/a,CYP2B6 Indeterminate,none
*44/*47,n/a,CYP2B6 Indeterminate,none
*44/*48,n/a,CYP2B6 Indeterminate,none
*44/*49,n/a,CYP2B6 Indeterminate,none
*45/*45,n/a,CYP2B6 Indeterminate,none
*45/*46,n/a,CYP2B6 Indeterminate,none
*45/*47,n/a,CYP2B6 Indeterminate,none
*45/*48,n/a,CYP2B6 Indeterminate,none
*45/*49,n/a,CYP2B6 Indeterminate,none
*46/*46,n/a,CYP2B6 Indeterminate,none
*46/*47,n/a,CYP2B6 Indeterminate,none
*46/*48,n/a,CYP2B6 Indeterminate,none
*46/*49,n/a,CYP2B6 Indeterminate,none
*47/*47,n/a,CYP2B6 Indeterminate,none
*47/*48,n/a,CYP2B6 Indeterminate,none
*47/*49,n/a,CYP2B6 Indeterminate,none
*48/*48,n/a,CYP2B6 Indeterminate,none
*48/*49,n/a,CYP2B6 Indeterminate,none
*49/*49,n/a,CYP2B6 Indeterminate,none